Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,47.78125,48.75,46.875,48.375,34.95512771606445,7600
2000-01-04,48.375,49.75,47.625,49.34375,35.655128479003906,6800
2000-01-05,49.46875,51.0,48.5,51.0,36.85192108154297,10200
2000-01-06,49.375,51.25,49.25,50.0625,36.174495697021484,4300
2000-01-07,50.5,51.0,49.8125,50.0,36.129337310791016,6900
2000-01-10,50.875,51.25,50.0,50.875,36.7616081237793,10800
2000-01-11,50.6875,51.0625,50.0,50.375,36.400306701660156,5700
2000-01-12,50.9375,51.0625,50.0,50.0,36.129337310791016,11300
2000-01-13,50.125,52.0,50.0625,52.0,37.574520111083984,11700
2000-01-14,52.125,52.25,50.5,50.5,36.49063491821289,12500
2000-01-18,51.25,51.5,50.0,50.0,36.129337310791016,9700
2000-01-19,50.375,51.0,49.5,49.625,35.85836410522461,10000
2000-01-20,50.0625,50.125,49.625,50.125,36.21968460083008,4500
2000-01-21,49.59375,49.59375,48.875,49.0,35.406761169433594,5000
2000-01-24,49.34375,49.8125,47.25,47.28125,34.16481399536133,14900
2000-01-25,47.125,48.0,46.5,47.5625,34.3680305480957,10900
2000-01-26,48.0,49.0,47.5,49.0,35.406761169433594,8600
2000-01-27,49.6875,50.0,47.75,49.375,35.67771530151367,18300
2000-01-28,48.75,50.125,48.75,50.0625,36.174495697021484,8300
2000-01-31,50.4375,51.0,49.75,50.75,36.671295166015625,11300
2000-02-01,50.9375,50.9375,47.0,47.0,33.96158218383789,9600
2000-02-02,47.3125,49.375,47.0,48.25,34.864830017089844,5200
2000-02-03,48.5,50.125,47.75,48.25,34.864830017089844,8200
2000-02-04,48.0,48.25,47.5,47.5,34.322872161865234,6200
2000-02-07,47.25,48.0,46.5,47.0,33.96158218383789,11100
2000-02-08,47.0,48.0,46.75,47.4375,34.2777099609375,5100
2000-02-09,47.75,49.125,47.25,48.65625,35.15835189819336,11800
2000-02-10,48.0625,49.75,48.0,49.125,35.49707794189453,15200
2000-02-11,48.875,49.75,48.5,49.0,35.406761169433594,23500
2000-02-14,49.0,49.5,48.75,49.5,35.76805877685547,4200
2000-02-15,48.75,49.5,48.75,49.5,35.76805877685547,7200
2000-02-16,49.5,49.75,49.0,49.25,35.76805877685547,2500
2000-02-17,49.375,49.75,49.25,49.5,35.94961166381836,12800
2000-02-18,49.5,49.75,49.25,49.5625,35.9949951171875,5500
2000-02-22,49.25,50.0,49.25,49.75,36.13117980957031,17700
2000-02-23,49.75,50.25,49.5,50.0,36.3127326965332,7000
2000-02-24,49.75,50.75,49.75,50.125,36.40353012084961,10500
2000-02-25,50.75,50.75,50.0,50.28125,36.51700210571289,11500
2000-02-28,50.9375,50.9375,50.0,50.125,36.40353012084961,8000
2000-02-29,50.0,50.875,50.0,50.46875,36.65317916870117,12800
2000-03-01,50.75,50.8125,50.25,50.40625,36.607791900634766,4300
2000-03-02,50.3125,50.875,49.9375,50.625,36.76663589477539,6700
2000-03-03,50.625,51.0,50.25,51.0,37.03900146484375,11400
2000-03-06,50.5,51.0625,50.5,50.5,36.67586898803711,3500
2000-03-07,50.9375,50.9375,50.25,50.9375,36.993595123291016,20500
2000-03-08,50.78125,53.0,50.5625,53.0,38.491493225097656,10100
2000-03-09,52.0,53.0,50.625,50.625,36.76663589477539,1600
2000-03-10,50.875,51.3125,50.875,51.125,37.129764556884766,10700
2000-03-13,50.8125,51.375,50.75,51.03125,37.06169509887695,9500
2000-03-14,51.875,52.25,51.5,51.6875,37.53827667236328,6800
2000-03-15,51.625,52.25,51.0,52.0,37.76523971557617,5000
2000-03-16,51.5625,52.8125,51.0,52.0,37.76523971557617,9500
2000-03-17,51.3125,53.0,51.3125,51.75,37.58369064331055,5900
2000-03-20,52.9375,52.9375,51.4375,51.4375,37.35672378540039,9300
2000-03-21,52.625,52.625,51.4375,51.4375,37.35672378540039,2500
2000-03-22,51.71875,52.25,51.4375,52.125,37.85603332519531,5100
2000-03-23,53.0,53.0,51.4375,52.75,38.309932708740234,9200
2000-03-24,52.3125,53.0,51.4375,51.5625,37.447509765625,14700
2000-03-27,52.0,52.0,51.4375,51.4375,37.35672378540039,3100
2000-03-28,52.125,52.5,51.75,51.75,37.58369064331055,2300
2000-03-29,52.4375,53.0,51.4375,51.625,37.49289321899414,5900
2000-03-30,53.0,53.0,51.5,52.125,37.85603332519531,28000
